     0.0f,9999.0f,9999.0f,  78.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  72.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 118.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 109.0f,9999.0f,9999.0f,  85.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 154.0f
  9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 160.0f,9999.0f,9999.0f,9999.0f,9999.0f, 130.0f,9999.0f, 183.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
    78.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 113.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  80.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f, 209.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 106.0f,9999.0f, 114.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  83.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  75.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  42.0f,9999.0f,9999.0f,  26.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  38.0f,9999.0f,9999.0f,  97.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f, 209.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f, 109.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 166.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,  52.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  52.0f,   0.0f,9999.0f,  62.0f,  86.0f, 113.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,  85.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  89.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  75.0f,9999.0f,9999.0f,9999.0f,9999.0f,  62.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  59.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  86.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 100.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 113.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  71.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f, 160.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
    72.0f,9999.0f,9999.0f, 113.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  42.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f, 106.0f,9999.0f,9999.0f,9999.0f,9999.0f, 166.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 122.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  42.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  59.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  76.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f, 114.0f,  83.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f, 130.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 100.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,  58.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  26.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 191.0f,9999.0f,9999.0f
  9999.0f,9999.0f, 183.0f,  80.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  89.0f,9999.0f,9999.0f,  71.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  38.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  58.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f
   118.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0.0f, 160.0f,9999.0f,9999.0f,  74.0f, 211.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  97.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  42.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 160.0f,   0.0f,  40.0f,9999.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  76.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  40.0f,   0.0f, 128.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 191.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 128.0f,   0.0f,9999.0f,9999.0f
  9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,  74.0f,9999.0f,9999.0f,9999.0f,   0.0f,9999.0f
  9999.0f, 154.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 122.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f,9999.0f, 211.0f,9999.0f,9999.0f,9999.0f,9999.0f,   0
